ITEM,Numbers,Category,item_type
cherukadha Malayalam,1,sahithyolsavam,single
cherukadha Hindi,1,sahithyolsavam,single
cherukadha English,1,sahithyolsavam,single
cherukadha Kannada,1,sahithyolsavam,single
cherukadha Urdu,1,sahithyolsavam,single
cherukadha Sanskrit,1,sahithyolsavam,single
cherukadha Arabic,1,sahithyolsavam,single
Kavitharachana Malayalam,1,sahithyolsavam,single
Kavitharachana Hindi,1,sahithyolsavam,single
Kavitharachana English,1,sahithyolsavam,single
Kavitharachana Kannada,1,sahithyolsavam,single
Kavitharachana Urdu,1,sahithyolsavam,single
Kavitharachana Sanskrit,1,sahithyolsavam,single
Kavitharachana Arabic,1,sahithyolsavam,single
Prabandham Malayalam,1,sahithyolsavam,single
Prabandham Hindi,1,sahithyolsavam,single
Prabandham English,1,sahithyolsavam,single
Prabandham Kannada,1,sahithyolsavam,single
Prabandham Urdu,1,sahithyolsavam,single
Prabandham Sanskrit,1,sahithyolsavam,single
Prabandham Arabic,1,sahithyolsavam,single
Cinema Niroopanam Malayalam,1,sahithyolsavam,single
Cinema Niroopanam English,1,sahithyolsavam,single
Cinema Niroopanam Hindi,1,sahithyolsavam,single
Thirakadharachana(Documentry) Malayalam,1,sahithyolsavam,single
Thirakadharachana(Documentry) English,1,sahithyolsavam,single
Thirakadharachana(Documentry) Hindi,1,sahithyolsavam,single
Thirakadharachana(Kadhachitram) Malayalam,1,sahithyolsavam,single
Thirakadharachana(Kadhachitram) English,1,sahithyolsavam,single
Thirakadharachana(Kadhachitram) Hindi,1,sahithyolsavam,single
Prasangam Malayalam,1,sahithyolsavam,single
Prasangam English,1,sahithyolsavam,single
Prasangam Hindi,1,sahithyolsavam,single
Prasangam Kannada,1,sahithyolsavam,single
Prasangam Urdu,1,sahithyolsavam,single
Prasangam Sanskrit,1,sahithyolsavam,single
Prasangam Arabic,1,sahithyolsavam,single
Kavithalapanam Malayalam,1,sahithyolsavam,single
Kavithalapanam English,1,sahithyolsavam,single
Kavithalapanam Hindi,1,sahithyolsavam,single
Kavithalapanam Kannada,1,sahithyolsavam,single
Kavithalapanam Urdu,1,sahithyolsavam,single
Kavithalapanam Sanskrit,1,sahithyolsavam,single
Kavithalapanam Arabic,1,sahithyolsavam,single
Aksharaslogam,1,sahithyolsavam,single
Kavyakeli,1,sahithyolsavam,single
Quiz,2,sahithyolsavam,single
Debate Malayalam,2,sahithyolsavam,single
Debate English,2,sahithyolsavam,single
Kurungadha Malayalam,1,sahithyolsavam,single
Kurungadha Hindi,1,sahithyolsavam,single
Kurungadha English,1,sahithyolsavam,single
Kurungadha Kannada,1,sahithyolsavam,single
Kurungadha Urdu,1,sahithyolsavam,single
Kurungadha Sanskrit,1,sahithyolsavam,single
Kurungadha Arabic,1,sahithyolsavam,single
Wiki Article Rachana Malayalam,1,sahithyolsavam,single
Wiki Article Rachana English,1,sahithyolsavam,single
Wiki Article Rachana Hindi,1,sahithyolsavam,single
Painting Acrylic,1,chithrolsavam,single
Oil Painting ,1,chithrolsavam,single
Water Painting Acrylic,1,chithrolsavam,single
Poster Rachana,1,chithrolsavam,single
Pencil Drawing,1,chithrolsavam,single
Charcoal Drawing,1,chithrolsavam,single
Cartoon Rachana,1,chithrolsavam,single
Caricature Rachana,1,chithrolsavam,single
Collash(Collage),1,chithrolsavam,single
Clay Model,1,chithrolsavam,single
embroidery,1,chithrolsavam,single
Pookalam,3,chithrolsavam,single
Rangoli,1,chithrolsavam,single
Photography,1,chithrolsavam,single
Computer Designing,1,chithrolsavam,single
Mehandi Design,2,chithrolsavam,single
Lalithaganam(M),1,Sangeetholsavam,single
Lalithaganam(F),1,Sangeetholsavam,single
Carnatic Sangeetham(M),1,Sangeetholsavam,single
Carnatic Sangeetham(F),1,Sangeetholsavam,single
Hindustani Sangeetham(M),1,Sangeetholsavam,single
Hindustani Sangeetham(F),1,Sangeetholsavam,single
Sanghaganam (Indian),8,Sangeetholsavam,group
Sanghaganam (Western),8,Sangeetholsavam,group
Paschathya Sangeetham(single),1,Sangeetholsavam,single
Mappilapattu (Single),1,Sangeetholsavam,single
Mappilapattu (Group),6,Sangeetholsavam,group
Gazal (M),1,Sangeetholsavam,single
Gazal (F),1,Sangeetholsavam,single
Nadanpattu,6,Sangeetholsavam,group
Chenda,1,Sangeetholsavam,single
Edakka,1,Sangeetholsavam,single
Maddhalam,1,Sangeetholsavam,single
Thabala,1,Sangeetholsavam,single
Mridangam,1,Sangeetholsavam,single
Gadam,1,Sangeetholsavam,single
Jazz (western),1,Sangeetholsavam,single
Guitar (western),1,Sangeetholsavam,single
Violin,1,Sangeetholsavam,single
Veena,1,Sangeetholsavam,single
pullamkuzhal,1,Sangeetholsavam,single
Nagaswaram,1,Sangeetholsavam,single
Harmonium,1,Sangeetholsavam,single
violine(western),1,Sangeetholsavam,single
Kadhakali Sangeetham,1,Sangeetholsavam,single
Ashtapathi,1,Sangeetholsavam,single
Kadhakali,1,Nritholsavam,single
Mohiniyattam,1,Nritholsavam,single
Bharatanatyam (M),1,Nritholsavam,single
Bharatanatyam (F),1,Nritholsavam,single
Kuchipodi (M),1,Nritholsavam,single
Kuchipodi(F),1,Nritholsavam,single
Keralanadanam,1,Nritholsavam,single
Ottamthullal,1,Nritholsavam,single
NadodiNritham(M),1,Nritholsavam,single
NadodiNritham(F),1,Nritholsavam,single
NadodiNritham(Group),10,Nritholsavam,group
Group Dance(M),8,Nritholsavam,group
Group Dance(F),8,Nritholsavam,group
Thiruvathira,10,Nritholsavam,group
Kolkali,12,Nritholsavam,group
Margamkali,8,Nritholsavam,group
Oppana(F),10,Nritholsavam,group
Poorakali,12,Nritholsavam,group
Daffmuttu(M),10,Nritholsavam,group
Parichamuttukali,8,Nritholsavam,group
Vattappattu,10,Nritholsavam,group
Arabanamuttu,10,Nritholsavam,group
Natakam (Malayalam),10,Drishyanatakolsavam,group
Natakam (English),10,Drishyanatakolsavam,group
Natakam (Hindi),10,Drishyanatakolsavam,group
Natakam (Kannada),10,Drishyanatakolsavam,group
Theruvu natakam (malayalam),10,Drishyanatakolsavam,group
Mime,6,Drishyanatakolsavam,group
Skit (malayalam),6,Drishyanatakolsavam,group
Mono Act,1,Drishyanatakolsavam,single
Kadhaprasagam,1,Drishyanatakolsavam,single
Mimicry,1,Drishyanatakolsavam,single
Chakyarkoothu,1,Drishyanatakolsavam,single
Yakshagana,9,Drishyanatakolsavam,group
Nangiyarkoothu,1,Drishyanatakolsavam,single
Short Film,15,Drishyanatakolsavam,group
